title,artist,album,genre,emotion_label,valence,energy,danceability,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,The Number Of The Beast (1998 Remastered Edition),rock,sad,0.344,0.93,0.42,99.641,-5.583,0.0189,0.00675,0.0638,0.264
Gimme Gimme Gimme (with Patti Austin),Narada Michael Walden,The Nature Of Things,pop,happy,0.939,0.795,0.639,171.378,-5.927,0.034,0.0,0.0655,0.179
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,edm,energetic,0.548,0.648,0.64,92.977,-8.113,0.124,0.0,0.187,0.0802
"Baby, You Are Wrong",Wave Wave,"Baby, You Are Wrong (feat. Brandon Mcdonnell)",edm,calm,0.403,0.588,0.56,121.96,-9.975,0.331,0.0,0.0448,0.136
Legend of the South,Upchurch,Creeker 2,rap,energetic,0.462,0.875,0.709,102.044,-5.479,0.0816,0.0,0.0544,0.119
We Found Love (feat. Ashibah) - Nora En Pure & Passenger 10 Remix Edit,Nora En Pure,We Found Love (feat. Ashibah) [Remixes],edm,energetic,0.0772,0.866,0.62,121.963,-5.97,0.00482,0.018,0.0353,0.34
Saving All My Love for You,Whitney Houston,Whitney Houston,r&b,sad,0.264,0.264,0.636,99.304,-14.567,0.593,4.22e-05,0.0263,0.275
Some Kind Of Lover,Jody Watley,Jody Watley,r&b,happy,0.899,0.596,0.827,118.73,-13.486,0.0744,0.0266,0.0559,0.0768
Dope Boyz,T.I.,I'm Serious,rap,sad,0.297,0.619,0.755,86.992,-8.895,0.03,0.0,0.225,0.213
Un Par De Balas,C-Kan,Clasificación C Vol.1,rap,happy,0.79,0.813,0.816,171.816,-3.124,0.448,0.0,0.361,0.153
Ábranse Perras,Gloria Trevi,Ábranse Perras,latin,happy,0.776,0.916,0.552,178.109,-3.397,0.097,0.0,0.133,0.124
Everyday,A$AP Rocky,AT.LONG.LAST.A$AP,pop,sad,0.335,0.661,0.394,149.822,-8.684,0.0101,0.0,0.193,0.343
The Great Escape,Noréll,The Great Escape,edm,happy,0.607,0.699,0.773,112.485,-5.133,0.015,0.0,0.0591,0.14
Reflections - Gryffin Remix,MisterWives,Reflections Remixes,pop,sad,0.155,0.644,0.634,102.98,-7.712,0.00714,0.00191,0.0652,0.354
We Own It (Fast & Furious),2 Chainz,Fast & Furious 6,edm,energetic,0.552,0.899,0.554,171.966,-4.573,0.0521,0.0,0.408,0.0568
Luna,The Rose Monarch,Luna,latin,sad,0.19,0.505,0.501,105.0,-5.674,0.0902,2.66e-06,0.0325,0.0579
Who's Got Your Love - Mike Williams Remix,Cheat Codes,Who's Got Your Love (Mike Williams Remix),edm,energetic,0.359,0.83,0.674,128.083,-2.687,0.00457,0.00665,0.0363,0.253
Terrified,Childish Gambino,"""Awaken, My Love!""",r&b,sad,0.103,0.409,0.473,139.891,-10.998,0.416,0.566,0.0544,0.099
Rest Easy,Cozy Collective,"Cozy Waves, Vol. 2",rap,calm,0.636,0.0881,0.42,211.644,-12.717,0.844,0.214,0.293,0.151
Shut It Down,Georgia Dutton,Shut It Down,pop,calm,0.65,0.324,0.784,103.027,-9.001,0.885,0.0,0.0356,0.101
At Your Altar,Within The Grey,At Your Altar,rock,energetic,0.447,0.915,0.503,94.992,-6.387,0.000216,0.001,0.036,0.0635
Lady,D'Angelo,Brown Sugar,r&b,calm,0.723,0.364,0.815,84.898,-11.834,0.14,0.0255,0.089,0.121
...& On,Erykah Badu,Mama's Gun,r&b,calm,0.707,0.338,0.785,83.426,-12.102,0.421,0.000104,0.0736,0.331
Keeps Me High,Ez Quew,Keeps Me High,edm,energetic,0.45,0.781,0.695,120.019,-4.688,0.291,8.86e-06,0.0627,0.382
Paid In Full,Eric B. & Rakim,Paid In Full,rap,energetic,0.404,0.851,0.878,99.014,-8.971,0.00228,0.00125,0.232,0.0509
Miracle,Caravan Palace,Miracle,edm,energetic,0.527,0.881,0.708,99.988,-5.411,0.607,0.000364,0.0655,0.12
Cotton Eyed Joe (feat. Carl Miner & Jamie Dick),Chessboxer,Cotton Eyed Joe (feat. Carl Miner & Jamie Dick),r&b,happy,0.914,0.755,0.658,115.02,-7.966,0.11,0.656,0.0407,0.0966
Don't Wanna Be Your Girl,Wet,Don't You,pop,sad,0.115,0.182,0.563,129.937,-14.931,0.78,0.0222,0.039,0.134
Chante's Got A Man,Chanté Moore,The Best Of Chanté Moore 20th Century Masters The Millennium Collection,r&b,energetic,0.517,0.62,0.747,111.545,-6.956,0.177,0.0,0.0608,0.0535
Moonlight Bossa,Jazzinuf,Lapis Lazuli,rap,energetic,0.599,0.942,0.532,179.825,-5.425,0.166,0.182,0.0965,0.218
Heaven (feat. Veronica),Dzeko,Heaven (feat. Veronica),edm,energetic,0.179,0.882,0.657,127.994,-3.565,0.247,0.00202,0.0456,0.112
Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),rock,happy,0.756,0.528,0.933,109.975,-6.472,0.112,0.329,0.162,0.163
Who Are You,The Who,Who Are You (Remastered),rock,energetic,0.489,0.661,0.651,156.371,-11.405,0.265,0.00313,0.0511,0.106
Tudo Ok,Thiaguinho MT,Tudo Ok,edm,happy,0.963,0.755,0.814,79.975,-6.164,0.239,0.0,0.0942,0.306
Freed from Desire (feat. Indiiana),Drenchill,Freed from Desire (feat. Indiiana),edm,energetic,0.147,0.758,0.789,126.0,-4.957,0.0665,0.0,0.114,0.0711
Bag In Da Box (feat. Orremannen) - Kung Fu Fighter Remix,DJ Tune,Bag In Da Box (2 tr),edm,happy,0.887,0.795,0.842,129.992,-6.237,0.00044,0.301,0.0789,0.0424
Mr Magpie - Jamie Berry Remix,The Electric Swing Circus,The Electric Swing Circus - Remixed Vol. 1,edm,happy,0.92,0.609,0.868,133.99,-6.081,0.0312,0.0129,0.0796,0.254
I Could Get Used To This,Becky Hill,I Could Get Used To This,pop,sad,0.345,0.653,0.621,117.129,-4.573,0.0152,0.0,0.0523,0.427
Love Again,Brandy,Love Again,r&b,calm,0.545,0.471,0.494,101.637,-5.36,0.42,0.0,0.0704,0.0907
The Nigga Ya Love To Hate,Ice Cube,AmeriKKKa's Most Wanted,rap,energetic,0.594,0.721,0.857,109.806,-12.702,0.118,0.0,0.341,0.178
Emiway-Samajh Mein Aaya Kya?,Emiway Bantai,Emiway-Samajh Mein Aaya Kya?,rap,happy,0.608,0.45,0.784,103.01,-12.473,0.474,0.0,0.248,0.193
Catch - Radio Edit,Will Sparks,Catch (Radio Edit),edm,energetic,0.586,0.659,0.532,127.339,-4.198,0.00505,0.287,0.437,0.307
What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,pop,energetic,0.333,0.708,0.857,113.015,-7.158,0.0101,1.95e-06,0.0608,0.0908
Spaceship (feat. Uffie),Galantis,Spaceship (feat. Uffie),edm,sad,0.375,0.842,0.518,125.854,-1.816,0.322,0.0,0.0828,0.101
Don't Be a Fool,Clarence Reid,Eccentric Soul: The Outskirts Of Deep City,r&b,calm,0.587,0.58,0.501,82.734,-6.966,0.251,3.17e-05,0.0341,0.46
Cadillacs & Chevys,Jarren Benton,My Grandmas Basement,r&b,sad,0.331,0.82,0.469,88.021,-6.557,0.00087,0.0,0.13,0.118
LaLaLaLaLa - Gaullin Remix,Dwin,LaLaLaLaLa (Gaullin Remix),edm,energetic,0.0954,0.857,0.883,127.07,-7.272,0.00125,0.403,0.23,0.0629
2 Phones,Kevin Gates,Islah (Deluxe),rap,energetic,0.554,0.681,0.895,121.918,-5.267,0.157,0.0,0.358,0.189
I Need You Now,Smokie Norful,I Need You Now,r&b,sad,0.304,0.273,0.339,96.804,-9.945,0.729,0.0,0.0309,0.152
Notice Me,JoJo2amazing,Notice Me,r&b,sad,0.375,0.587,0.449,136.577,-11.04,0.454,0.0,0.308,0.242
Let's Stay Home Tonight,Joe,Better Days,r&b,happy,0.722,0.742,0.691,90.102,-4.49,0.145,3.14e-05,0.0602,0.0944
Megaton Mile,Local Natives,Violet Street,pop,energetic,0.58,0.811,0.542,120.477,-5.07,0.0476,0.000168,0.0759,0.813
Electric Relaxation,A Tribe Called Quest,Midnight Marauders,r&b,happy,0.696,0.402,0.853,98.231,-13.025,0.22,0.426,0.325,0.119
Back 2 U (feat. WALK THE MOON),Steve Aoki,Back 2 U (feat. WALK THE MOON),edm,energetic,0.545,0.875,0.635,126.034,-6.221,0.021,7.94e-06,0.0512,0.139
Rattle Your Cage,Skrizzly Adams,Young Man,rock,calm,0.498,0.565,0.583,179.874,-8.318,0.027,0.0,0.123,0.0908
Addicted,Vigiland,Addicted,edm,energetic,0.478,0.822,0.654,127.94,-4.556,0.0125,1.74e-06,0.0396,0.134
I'll Wait (To Fall In Love),Anthony Hamilton,Back To Love (Deluxe Version),r&b,calm,0.493,0.583,0.732,134.217,-5.513,0.208,0.0,0.0526,0.0938
Tops Drop,Fat Pat,Ghetto Dreams,rap,happy,0.614,0.456,0.912,93.222,-7.611,0.0142,2.4e-06,0.131,0.111
Wires,Ray Dawn,Wires,r&b,happy,0.779,0.578,0.841,147.002,-6.986,0.264,0.0,0.4,0.115
Feel It Still,Portugal. The Man,Woodstock,r&b,happy,0.754,0.795,0.801,79.028,-5.115,0.0417,0.000113,0.0504,0.0717
CharacterSelect (ВыборПерсонажа),BONES,CARCASS,rap,sad,0.167,0.575,0.754,109.012,-8.269,0.0939,3.06e-06,0.0541,0.192
Scars To Your Beautiful - NOTD Remix,Alessia Cara,Scars To Your Beautiful (Remixes),edm,energetic,0.185,0.805,0.68,102.001,-4.917,0.0141,1.32e-06,0.0449,0.144
Somebody Else,VÉRITÉ,Somebody Else,pop,calm,0.464,0.593,0.674,116.995,-6.47,0.201,0.000529,0.0582,0.209
Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),latin,happy,0.961,0.777,0.723,91.017,-3.503,0.0426,3.68e-06,0.108,0.0451
Die For You,The Weeknd,Starboy,r&b,calm,0.508,0.525,0.586,133.629,-7.163,0.111,0.0,0.0615,0.134
Can't Touch Me,Ansvh,Syrn?,r&b,happy,0.833,0.775,0.62,166.143,-7.7,0.751,2.89e-05,0.342,0.157
Lucifer,JAY-Z,The Black Album,rap,happy,0.839,0.927,0.551,171.4,-2.263,0.0508,0.0,0.43,0.0739
6 Man,Drake,If You're Reading This It's Too Late,r&b,sad,0.321,0.535,0.812,78.974,-9.306,0.217,0.0,0.449,0.114
Old School,Aaliyah,Age Ain't Nothing But A Number,r&b,calm,0.466,0.46,0.574,167.857,-9.689,0.764,7.36e-06,0.18,0.372
Eye of the Tiger,Survivor,Rocky IV,rock,calm,0.548,0.599,0.817,108.873,-9.249,0.132,0.000311,0.0328,0.0873
Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,r&b,sad,0.367,0.578,0.8,143.01,-5.144,0.00381,0.0,0.0485,0.359
Love Me,Felix Cartal,Love Me,pop,energetic,0.613,0.824,0.754,116.978,-2.453,0.0506,7.92e-06,0.039,0.108
Work,Rihanna,ANTI (Deluxe),edm,calm,0.558,0.534,0.725,91.974,-6.238,0.0752,0.0,0.0946,0.0919
Mo Reala,Zaytoven,Trapholizay,rap,sad,0.337,0.52,0.878,110.996,-7.58,0.218,0.0,0.131,0.119
Ghost - Lost Kings Remix,Halsey,Room 93: The Remixes,edm,energetic,0.433,0.852,0.701,104.988,-4.908,0.423,0.00474,0.0339,0.202
Control,James Organ,Substance / Control,edm,energetic,0.457,0.884,0.76,124.988,-10.778,0.0776,0.926,0.0665,0.0316
Let's Get It Started,MC Hammer,Let's Get It Started,rap,happy,0.809,0.722,0.956,115.438,-12.223,0.0564,2.26e-06,0.0494,0.105
Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff),Glee Cast,"Glee: The Music, Volume 3 Showstoppers",pop,sad,0.261,0.662,0.513,134.128,-6.058,0.195,0.0,0.0293,0.101
Trzy Butelki,White 2115,Trzy Butelki,rap,calm,0.55,0.595,0.653,174.886,-8.309,0.228,0.0541,0.31,0.432
let's be lazy together,biosphere,Summer Festival,latin,calm,0.69,0.374,0.799,89.023,-13.475,0.713,0.854,0.154,0.108
Quedo Envuelto,Nicolas Nerva,Quedo Envuelto,edm,happy,0.771,0.694,0.637,171.79,-7.933,0.522,0.0,0.26,0.223
Damn! - Club Mix,Youngbloodz,Drankin' Patnaz,rap,energetic,0.518,0.724,0.772,84.038,-5.799,0.0149,0.0,0.307,0.355
Demasiado Tarde,Micro Tdh,Demasiado Tarde,latin,calm,0.557,0.556,0.823,129.985,-7.141,0.6,0.000694,0.0889,0.3
Everyday Hell,Fredro Starr,Made In the Streets,rap,sad,0.269,0.551,0.772,91.048,-6.896,0.0433,0.0,0.0906,0.149
My Sunshine,Kavv,Cruise Control,latin,calm,0.932,0.185,0.695,144.36,-10.311,0.933,0.908,0.071,0.111
Uno,John Christian,Uno,edm,energetic,0.0985,0.886,0.792,128.017,-4.274,0.00405,0.61,0.0882,0.0648
Weight In Gold - Brasstracks Remix,Gallant,Weight In Gold (The Remixes),r&b,calm,0.403,0.579,0.454,119.435,-4.5,0.0228,6.55e-05,0.342,0.27
Te Hace Falta,Baby Rasta & Gringo,Te Hace Falta,latin,happy,0.805,0.844,0.867,92.015,-2.27,0.0947,0.0014,0.125,0.0801
Our Show,Ericé,Our Show,edm,happy,0.724,0.516,0.731,120.015,-7.324,0.0431,1.77e-06,0.0385,0.519
Irmão DQbrada!,Costa Gold,Irmão Dqbrada!,rap,happy,0.764,0.758,0.896,133.93,-5.334,0.228,0.0,0.422,0.101
Introducing Me,Nick Jonas,Camp Rock 2: The Final Jam,pop,happy,0.684,0.495,0.509,112.893,-6.073,0.491,0.0,0.0515,0.0773
Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,edm,energetic,0.438,0.84,0.612,129.042,-3.145,0.112,0.0,0.0509,0.116
2012,Party Favor,2012,rap,happy,0.785,0.806,0.724,159.015,-3.601,0.271,0.817,0.192,0.16
Está en Tus Manos,Javiera Mena,Esquemas Juveniles,pop,sad,0.0698,0.203,0.385,147.179,-12.111,0.94,0.022,0.0358,0.071
Oh Me Oh My,DJ Snake,Encore,edm,sad,0.0395,0.652,0.669,119.972,-4.245,0.0314,0.0,0.0603,0.158
Long Way Home,.Sinh,Long Way Home,rap,calm,0.625,0.242,0.711,81.009,-13.298,0.632,0.742,0.259,0.0888
Player's Ball,OutKast,Southernplayalisticadillacmuzik,rap,energetic,0.579,0.764,0.857,93.071,-6.304,0.0402,0.0,0.246,0.425
"Jumpin', Jumpin'",Destiny's Child,The Writing's On The Wall,r&b,happy,0.683,0.685,0.771,88.997,-4.639,0.00543,0.00157,0.0567,0.0537
Smoke on the Water,Deep Purple,Deepest Purple: The Very Best of Deep Purple,rock,happy,0.897,0.612,0.616,114.558,-11.084,0.169,0.434,0.0275,0.101
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",Dreamer,r&b,calm,0.744,0.376,0.518,158.089,-18.248,0.933,0.86,0.0431,0.0976
Age Ain't Nothing But a Number,Aaliyah,Age Ain't Nothing But A Number,r&b,calm,0.434,0.532,0.589,84.012,-8.572,0.155,0.0903,0.0271,0.323
Uitzicht,Bakermat,Uitzicht - EP,latin,happy,0.66,0.425,0.807,125.987,-8.452,0.0169,0.891,0.0656,0.0614
You're So Cold,Mariah Carey,Emotions,r&b,energetic,0.601,0.785,0.733,110.002,-8.249,0.043,0.00201,0.0371,0.113
It Ain't Me (with Selena Gomez),Kygo,It Ain't Me (with Selena Gomez),pop,calm,0.515,0.533,0.64,99.968,-6.596,0.119,0.0,0.0706,0.0864
Can't Stop No Player,Da Organization,Da Organization,rap,energetic,0.583,0.731,0.942,138.843,-6.539,0.0119,0.0,0.182,0.0645
Así Es Amar,María León,Inquebrantable,latin,sad,0.298,0.394,0.222,76.838,-6.417,0.62,0.0,0.0334,0.0969
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),latin,sad,0.152,0.854,0.596,120.274,-5.114,0.0169,0.0,0.463,0.124
Cold Heart,Lonely in the Rain,Cold Heart,edm,sad,0.361,0.561,0.69,115.038,-11.253,0.171,0.0497,0.0522,0.162
Beautiful World - Radio Edit,Blasterjaxx,Beautiful World (Radio Edit),edm,sad,0.264,0.944,0.574,129.908,-1.026,0.0232,8.1e-05,0.0499,0.274
Desconocidos,Mau y Ricky,Desconocidos,latin,happy,0.709,0.771,0.709,174.006,-4.598,0.146,3.29e-06,0.166,0.249
Pa' Que Vuelvas,Lyanno,Pa' Que Vuelvas,latin,happy,0.604,0.647,0.814,93.977,-5.651,0.0583,0.0,0.0443,0.0854
Where Do We Go,Solange,A Seat at the Table,r&b,calm,0.412,0.351,0.85,138.045,-5.536,0.0263,0.0037,0.0517,0.0748
IDGAF,Dua Lipa,Dua Lipa (Deluxe),pop,calm,0.51,0.544,0.836,97.028,-5.975,0.0403,0.0,0.0943,0.0824
Kinder Eyes (feat. Ryann),Ryan Riback,Kinder Eyes (feat. Ryann),edm,calm,0.421,0.582,0.774,99.973,-6.904,0.0904,0.0,0.261,0.107
Happy,Ashanti,Ashanti,r&b,happy,0.696,0.515,0.727,89.488,-6.553,0.24,3.65e-06,0.0289,0.13
Arcadia,Hardwell,Festival Favorites 2014 - Armada Music,edm,energetic,0.251,0.888,0.608,127.938,-3.192,0.0028,3.46e-06,0.0351,0.153
"Yo x Ti, Tu x Mi",ROSALÍA,"Yo x Ti, Tu x Mi",r&b,energetic,0.579,0.759,0.78,91.952,-3.292,0.462,0.000868,0.225,0.143
Flying Whale,Greenish,Everybody Out !,edm,sad,0.158,0.278,0.348,131.318,-11.839,0.629,0.364,0.0286,0.363
Don't Change Me,Kid Runner,Don't Change Me,pop,energetic,0.652,0.888,0.67,101.855,-5.368,0.00901,0.0,0.0299,0.419
Just Say Yes,Snow Patrol,Up To Now,rock,sad,0.255,0.887,0.54,108.02,-5.518,0.0187,3.19e-05,0.0324,0.0275
Pink + White,Frank Ocean,Blonde,r&b,calm,0.554,0.552,0.544,159.738,-7.45,0.67,4.57e-05,0.0991,0.415
Nuttin' But Love,Heavy D & The Boyz,Nuttin' But Love,r&b,calm,0.47,0.499,0.731,202.675,-13.619,0.0527,0.0015,0.374,0.0362
LA CANCIÓN,J Balvin,OASIS,latin,energetic,0.429,0.646,0.754,176.089,-5.795,0.152,1.85e-05,0.317,0.108
Show Me How to Love,Debra Killings,Open Heaven,r&b,calm,0.589,0.502,0.614,81.003,-11.419,0.141,0.0,0.0832,0.0669
Sunlight in Your Eyes,Chavano,Sunlight in Your Eyes,edm,energetic,0.314,0.701,0.652,126.107,-6.171,0.017,0.0,0.0606,0.586
Get To The Bag,JY MNTL,Get To The Bag,r&b,calm,0.486,0.582,0.63,75.055,-7.979,0.521,1.94e-05,0.112,0.137
Outta My System,Bow Wow,The Price Of Fame,r&b,happy,0.743,0.59,0.772,83.998,-6.957,0.0917,0.0,0.183,0.101
Jesus In LA,Alec Benjamin,Jesus In LA,r&b,happy,0.689,0.627,0.767,94.028,-4.096,0.537,0.0,0.0401,0.359
Gush,Pharrell Williams,G I R L,r&b,happy,0.714,0.697,0.796,111.999,-7.062,0.112,1.55e-05,0.0537,0.0523
Perfect - Stripped,One Direction,Perfect - EP,latin,sad,0.278,0.468,0.704,100.084,-6.218,0.514,0.0,0.0359,0.103
One More Hour,Anthony Ramos,The Good & The Bad,r&b,calm,0.626,0.302,0.663,176.107,-9.154,0.395,2.72e-06,0.4,0.12
Jessie's Girl,Rick Springfield,Working Class Dog,rock,happy,0.822,0.832,0.727,131.703,-5.851,0.164,0.0,0.05,0.105
I Lived - Arty Remix,OneRepublic,I Lived (Arty Remix),edm,sad,0.106,0.796,0.267,127.931,-4.07,0.231,0.0,0.053,0.079
Still Alive - Cruise Control Remix,A R I Z O N A,Still Alive (Cruise Control Remix),pop,energetic,0.339,0.738,0.767,120.001,-6.907,0.0192,0.561,0.0374,0.106
Better,Khalid,Better,r&b,sad,0.116,0.585,0.442,97.565,-10.332,0.0984,0.391,0.0964,0.14
I'll Give All My Love to You,Keith Sweat,I'll Give All My Love to You,r&b,sad,0.278,0.377,0.576,139.942,-13.294,0.529,0.0,0.0397,0.137
The Oasis - Radio Edit,Talla 2XLC,The Oasis,edm,sad,0.0929,0.98,0.411,140.03,-5.563,0.00113,0.602,0.247,0.394
Carnival - Dimitri Vegas & Like Mike Edit,Timmy Trumpet,Carnival (Dimitri Vegas & Like Mike Edit),edm,sad,0.128,0.724,0.388,131.758,-6.599,0.0015,0.287,0.0766,0.085
New Me Who Dis,Andrew Gialanella,New Me Who Dis,rock,energetic,0.602,0.767,0.681,162.084,-6.338,0.115,0.0,0.0403,0.155
Blessings,Big Sean,Dark Sky Paradise (Deluxe),rap,sad,0.15,0.621,0.775,118.843,-7.634,0.332,0.0,0.295,0.122
Alive,Many Moor,Alive,edm,happy,0.72,0.71,0.725,127.992,-4.624,0.0141,0.0,0.0291,0.101
White Adidas,DLG.,White Adidas,pop,sad,0.293,0.445,0.666,115.992,-6.66,0.149,1.51e-06,0.0367,0.0939
Better Than Today,Rhys Lewis,Better Than Today,r&b,calm,0.408,0.234,0.387,78.65,-8.861,0.736,0.0,0.0373,0.084
Count To Five,Rhye,Blood,pop,calm,0.723,0.34,0.808,98.021,-8.18,0.619,0.0342,0.0628,0.11
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",Cheap Trick,The Essential Cheap Trick,rock,sad,0.399,0.887,0.338,206.255,-8.873,0.00962,0.011,0.0438,0.556
They Call Me Pokey,Pokey,They Call Me Pokey,rap,calm,0.521,0.534,0.578,82.696,-4.901,0.0357,0.0,0.0348,0.323
SILHOUETTE,Lorn,REMNANT,pop,sad,0.0276,0.0958,0.0985,87.92,-18.209,0.721,0.853,0.0364,0.0982
Walk On Water,Nadia Grace,Walk On Water,pop,energetic,0.505,0.65,0.529,147.893,-5.264,0.0425,0.0,0.045,0.0694
Remember the Time,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",r&b,happy,0.801,0.908,0.834,107.931,-3.404,0.128,0.00381,0.0646,0.181
Got to Get It,Culture Beat,Serenity,pop,energetic,0.541,0.909,0.668,132.865,-9.925,0.000705,0.0448,0.0397,0.235
That Jazz,Coops,No Brainer,r&b,sad,0.364,0.509,0.65,88.848,-6.106,0.0893,0.0,0.322,0.145
Nike Ticks,YNG Martyr,Nike Ticks,rap,calm,0.525,0.435,0.779,188.223,-12.745,0.334,0.000114,0.542,0.0924
Rise,Jonas Blue,Rise,pop,energetic,0.669,0.784,0.69,106.066,-4.653,0.323,0.0,0.032,0.203
My Mind Is The Weapon (Topic 1),Hawk House,A Handshake To The Brain,r&b,energetic,0.449,0.843,0.599,83.92,-6.652,0.793,0.0,0.443,0.126
Lights Down Low,MAX,Hell's Kitchen Angel,pop,calm,0.594,0.493,0.623,81.019,-7.727,0.0632,0.0,0.0338,0.104
One Week,Barenaked Ladies,Stunt (20th Anniversary Edition),rock,happy,0.731,0.898,0.702,112.845,-6.003,0.00854,0.000154,0.0373,0.0917
Funky Ride,OutKast,Southernplayalisticadillacmuzik,rap,calm,0.534,0.584,0.545,144.153,-7.643,0.0161,1.06e-05,0.0888,0.177
A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",r&b,sad,0.28,0.541,0.713,75.714,-9.295,0.0617,0.000137,0.248,0.112
Beauty,Dru Hill,Enter The Dru,r&b,calm,0.471,0.279,0.725,119.787,-14.346,0.592,0.0,0.0701,0.0869
Better Runaway - Erlandsson Remix,Hogland,Better Runaway (Erlandsson Remix),edm,energetic,0.393,0.8,0.724,127.971,-4.705,0.00356,0.0,0.0537,0.318
Driftin' Blues,Charles Brown,Driftin' Blues,rock,calm,0.494,0.239,0.342,200.639,-15.682,0.853,2.94e-05,0.0394,0.0691
REEL IT IN,Aminé,ONEPOINTFIVE,rap,calm,0.423,0.342,0.754,128.981,-8.677,0.073,0.0,0.0991,0.193
Alarm,Anne-Marie,Alarm,pop,happy,0.811,0.589,0.756,146.928,-5.093,0.0812,0.0,0.232,0.176
Mala Suerte - Remix,Jory Boy,Mala Suerte (Remix) [feat. Ken-Y],latin,happy,0.886,0.749,0.774,92.008,-4.399,0.186,0.0,0.0442,0.0931
I Get Around,2Pac,Strictly 4 My N.I.G.G.A.Z...,rap,happy,0.645,0.416,0.846,96.188,-13.767,0.156,9.34e-06,0.118,0.238
RPG (feat. 6lack),Kehlani,While We Wait,r&b,happy,0.719,0.534,0.758,132.94,-7.368,0.402,0.0,0.287,0.0917
"One Bourbon, One Scotch, One Beer",George Thorogood & The Destroyers,George Thorogood & The Destroyers,rock,happy,0.766,0.648,0.56,136.462,-14.522,0.154,0.00263,0.174,0.0919
Humanity,Scorpions,Humanity - Hour I,rock,sad,0.36,0.71,0.45,86.844,-3.632,0.0119,0.000204,0.0373,0.0822
Presidential,Rick Ross,"God Forgives, I Don't",rap,sad,0.191,0.777,0.466,163.964,-4.432,0.126,0.0,0.233,0.0772
Pretty Little Fears (feat. J. Cole),6LACK,East Atlanta Love Letter,r&b,sad,0.246,0.458,0.61,192.099,-11.336,0.696,0.000103,0.36,0.0852
Cruisin' - Carl Mackintosh Mix,D'Angelo,Brown Sugar,r&b,sad,0.329,0.525,0.407,74.34,-12.725,0.381,0.000452,0.166,0.0816
Good Thing (feat. Kehlani) - Marc Benjamin Remix,Zedd,Good Thing (with Kehlani) [Remixes],edm,sad,0.187,0.817,0.494,127.915,-7.631,0.105,0.00217,0.175,0.207
Sleeping On The Sidewalk - Remastered 2011,Queen,News Of The World (2011 Remaster),rock,energetic,0.644,0.767,0.619,129.947,-7.811,0.466,0.000279,0.027,0.387
First Place,Polo G,First Place,rap,calm,0.563,0.566,0.656,137.215,-9.501,0.0125,0.0,0.339,0.0655
Forgot About,Priya Ragu,Forgot About,r&b,sad,0.155,0.336,0.595,66.97,-9.707,0.114,0.00219,0.0375,0.201
Barracuda,Heart,Absolute Rock Anthems,rock,happy,0.611,0.926,0.509,137.213,-4.073,0.0176,0.0359,0.0614,0.205
Whatcha Know (featuring Big Gipp),Three 6 Mafia,When The Smoke Clears,rap,happy,0.948,0.937,0.944,136.05,-5.089,0.0087,0.0,0.0704,0.457
The Friendly Sound,Lemaitre,The Friendly Sound EP,pop,sad,0.0818,0.861,0.597,109.978,-8.074,0.0229,0.00828,0.0408,0.143
Eye of the Tiger,Survivor,80s 100 Hits,rock,calm,0.561,0.477,0.821,108.684,-13.446,0.236,0.000522,0.0349,0.0771
shorty (pt.3),Deem Spencer,Pretty face,rap,calm,0.412,0.38,0.649,120.112,-12.245,0.498,0.011,0.257,0.0997
What Lovers Do (feat. SZA),Maroon 5,What Lovers Do (feat. SZA),pop,sad,0.386,0.608,0.795,110.001,-5.222,0.0767,2.92e-06,0.0694,0.0853
Draco,Future,FUTURE,rap,sad,0.165,0.456,0.804,130.014,-7.44,0.000668,0.0,0.0468,0.31
Jumpin' Jack Flash,The Rolling Stones,Hot Rocks 1964-1971,rock,happy,0.637,0.912,0.572,137.323,-8.099,0.0421,0.18,0.0562,0.0742
slow motion,flor,ley lines,pop,happy,0.773,0.658,0.702,103.025,-5.522,0.00844,8.11e-06,0.0262,0.232
Jocelyn Flores,XXXTENTACION,17,rap,calm,0.437,0.391,0.872,134.021,-9.144,0.469,4.13e-06,0.242,0.297
Go To War,Nothing More,Go To War,rock,sad,0.35,0.892,0.461,137.35,-4.807,0.00187,1.34e-06,0.0901,0.0942
"Replace It, Forget It",THE WLDLFE,"Replace It, Forget It",pop,happy,0.753,0.768,0.554,150.062,-6.042,0.00794,0.0145,0.0387,0.356
